invoice_no,date,due_date,status,client,address,contact,description,qty,unit_price,tax_rate,line_total
INV-20260401-001,2026-04-01,2026-05-01,PENDING,PT MITRA BISNIS Indonesia,"Jl. Gatot Subroto No. 999, Bandung 40123",Budi Santoso | budi@mitraindonesia.com,Data Analysis & Reporting,15,600000,0.11,9990000.0
INV-20260401-001,2026-04-01,2026-05-01,PENDING,PT MITRA BISNIS Indonesia,"Jl. Gatot Subroto No. 999, Bandung 40123",Budi Santoso | budi@mitraindonesia.com,UI/UX Design Services,9,750000,0.11,7492500.000000001
INV-20260402-002,2026-04-02,2026-05-02,PENDING,PT MITRA BISNIS Indonesia,"Jl. Gatot Subroto No. 999, Bandung 40123",Budi Santoso | budi@mitraindonesia.com,Technical Documentation,2,250000,0.11,555000.0
INV-20260402-002,2026-04-02,2026-05-02,PENDING,PT MITRA BISNIS Indonesia,"Jl. Gatot Subroto No. 999, Bandung 40123",Budi Santoso | budi@mitraindonesia.com,Software Development,6,5000000,0.11,33300000.000000004
INV-20260402-002,2026-04-02,2026-05-02,PENDING,PT MITRA BISNIS Indonesia,"Jl. Gatot Subroto No. 999, Bandung 40123",Budi Santoso | budi@mitraindonesia.com,API Development,14,900000,0.11,13986000.000000002
INV-20260402-002,2026-04-02,2026-05-02,PENDING,PT MITRA BISNIS Indonesia,"Jl. Gatot Subroto No. 999, Bandung 40123",Budi Santoso | budi@mitraindonesia.com,Professional Consulting Services,15,500000,0.11,8325000.000000001
INV-20260403-003,2026-04-03,2026-05-03,PENDING,PT MITRA BISNIS Indonesia,"Jl. Gatot Subroto No. 999, Bandung 40123",Budi Santoso | budi@mitraindonesia.com,UI/UX Design Services,29,750000,0.11,24142500.000000004
INV-20260403-003,2026-04-03,2026-05-03,PENDING,PT MITRA BISNIS Indonesia,"Jl. Gatot Subroto No. 999, Bandung 40123",Budi Santoso | budi@mitraindonesia.com,Technical Documentation,38,250000,0.11,10545000.0
INV-20260403-003,2026-04-03,2026-05-03,PENDING,PT MITRA BISNIS Indonesia,"Jl. Gatot Subroto No. 999, Bandung 40123",Budi Santoso | budi@mitraindonesia.com,API Development,18,900000,0.11,17982000.0
INV-20260403-003,2026-04-03,2026-05-03,PENDING,PT MITRA BISNIS Indonesia,"Jl. Gatot Subroto No. 999, Bandung 40123",Budi Santoso | budi@mitraindonesia.com,Software Development,1,5000000,0.11,5550000.000000001
INV-20260404-004,2026-04-04,2026-05-04,PENDING,CV SOLUSI DIGITAL Nusantara,"Jl. Pemuda No. 55, Surabaya 60271",Andi Wijaya | andi@solusid.co.id,API Development,14,900000,0.11,13986000.000000002
INV-20260404-004,2026-04-04,2026-05-04,PENDING,CV SOLUSI DIGITAL Nusantara,"Jl. Pemuda No. 55, Surabaya 60271",Andi Wijaya | andi@solusid.co.id,Cloud Infrastructure Setup,49,1200000,0.11,65268000.00000001
INV-20260404-004,2026-04-04,2026-05-04,PENDING,CV SOLUSI DIGITAL Nusantara,"Jl. Pemuda No. 55, Surabaya 60271",Andi Wijaya | andi@solusid.co.id,Data Analysis & Reporting,22,600000,0.11,14652000.000000002
INV-20260404-004,2026-04-04,2026-05-04,PENDING,CV SOLUSI DIGITAL Nusantara,"Jl. Pemuda No. 55, Surabaya 60271",Andi Wijaya | andi@solusid.co.id,Software Development,7,5000000,0.11,38850000.0
INV-20260405-005,2026-04-05,2026-05-05,PENDING,PT MITRA BISNIS Indonesia,"Jl. Gatot Subroto No. 999, Bandung 40123",Budi Santoso | budi@mitraindonesia.com,Software Development,39,5000000,0.11,216450000.00000003
INV-20260405-005,2026-04-05,2026-05-05,PENDING,PT MITRA BISNIS Indonesia,"Jl. Gatot Subroto No. 999, Bandung 40123",Budi Santoso | budi@mitraindonesia.com,Cloud Infrastructure Setup,17,1200000,0.11,22644000.000000004
INV-20260405-005,2026-04-05,2026-05-05,PENDING,PT MITRA BISNIS Indonesia,"Jl. Gatot Subroto No. 999, Bandung 40123",Budi Santoso | budi@mitraindonesia.com,Technical Documentation,3,250000,0.11,832500.0000000001
